Galaxy wrapper id,Total tool usage (usegalaxy.eu),No. of tool users (2022-2023) (usegalaxy.eu),Galaxy tool ids,Description,bio.tool id,bio.tool name,bio.tool description,EDAM operation,EDAM topic,Status,Source,ToolShed categories,ToolShed id,Galaxy wrapper owner,Galaxy wrapper source,Galaxy wrapper version,Conda id,Conda version,https://usegalaxy.org,https://usegalaxy.org.au,https://usegalaxy.eu,Reviewed,To keep,EDAM operation low classes
nugen_nudup,,,nugen_nudup,Marks/removes PCR introduced duplicate molecules based on the molecular tagging technology used in NuGEN products.,,,,,,Up-to-date,http://nugentechnologies.github.io/nudup/,"SAM, Metagenomics, Sequence Analysis, Transcriptomics",nugen_nudup,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/nugen_nudup,2.3.3,nudup,2.3.3,(0/1),(0/1),(0/1),True,True,
orfipy,774.0,53.0,orfipy,Galaxy wrapper for ORFIPY,orfipy,orfipy,"A fast and flexible tool for extracting ORFs.orfipy is a tool written in python/cython to extract ORFs in extremely an fast and flexible manner. Other popular ORF searching tools are OrfM and getorf. Compared to OrfM and getorf, orfipy provides the most options to fine tune ORF searches. orfipy uses multiple CPU cores and is particularly faster for data containing multiple smaller fasta sequences such as de-novo transcriptome assemblies. Please read the preprint here.","Coding region prediction, Database search, Transcriptome assembly, De-novo assembly","Computer science, RNA-Seq, Transcriptomics, Small molecules",Up-to-date,https://github.com/urmi-21/orfipy,Sequence Analysis,orfipy,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/orfipy,0.0.4,orfipy,0.0.4,(1/1),(0/1),(1/1),True,True,"Coding region prediction, Database search, Transcriptome assembly, De-novo assembly"
orthofinder,,,orthofinder_onlygroups,Accurate inference of orthologous gene groups made easy,OrthoFinder,OrthoFinder,"OrthoFinder is a fast, accurate and comprehensive platform for comparative genomics. It finds orthogroups and orthologs, infers rooted gene trees for all orthogroups and identifies all of the gene duplcation events in those gene trees. It also infers a rooted species tree for the species being analysed and maps the gene duplication events from the gene trees to branches in the species tree. OrthoFinder also provides comprehensive statistics for comparative genomic analyses.","Genome comparison, Phylogenetic tree generation (from molecular sequences), Phylogenetic tree analysis, Genome alignment","Phylogenetics, Phylogenomics, Bioinformatics, Comparative genomics, Sequence analysis",Up-to-date,https://github.com/davidemms/OrthoFinder,"Phylogenetics, Sequence Analysis",orthofinder,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/orthofinder,2.5.5,orthofinder,2.5.5,(0/1),(1/1),(1/1),True,True,"Genome comparison, Phylogenetic tree generation (from molecular sequences), Phylogenetic tree analysis, Genome alignment"
pharokka,2565.0,74.0,pharokka,rapid standardised annotation tool for bacteriophage genomes and metagenomes,"
                pharokka
            ",,,,,To update,https://github.com/gbouras13/pharokka,Genome annotation,pharokka,iuc,https://github.com/galaxyproject/tools-iuc/tree/main/tools/pharokka,1.3.2,"
                pharokka
            ",,(0/1),(1/1),(1/1),True,True,
phyloseq,,,"phyloseq_from_dada2, phyloseq_plot_ordination, phyloseq_plot_richness",Handling and analysis of high-throughput microbiome census data,,,,,,To update,https://www.bioconductor.org/packages/release/bioc/html/phyloseq.html,Metagenomics,phyloseq,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/phyloseq,1.38.0,bioconductor-phyloseq,1.46.0,(0/3),(0/3),(3/3),True,True,
phyml,1770.0,104.0,phyml,PhyML is a phylogeny software based on the maximum-likelihood principle.,phyml,PhyML,Phylogenetic estimation software using Maximum Likelihood,Phylogenetic tree generation (maximum likelihood and Bayesian methods),"Phylogenetics, Bioinformatics, Phylogenetics",Up-to-date,http://www.atgc-montpellier.fr/phyml/,Phylogenetics,phyml,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/phyml,3.3.20220408,phyml,3.3.20220408,(0/1),(1/1),(1/1),True,True,Phylogenetic tree generation (maximum likelihood and Bayesian methods)
picrust,,,"picrust_categorize, picrust_compare_biom, picrust_format_tree_and_trait_table, picrust_metagenome_contributions, picrust_normalize_by_copy_number, picrust_predict_metagenomes",PICRUSt wrappers,,,,,,To update,https://picrust.github.io/picrust/,Metagenomics,picrust,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/picrust,1.1.1,picrust,1.1.4,(0/6),(6/6),(5/6),True,True,
picrust2,,,"picrust2_add_descriptions, picrust2_hsp, picrust2_metagenome_pipeline, picrust2_pathway_pipeline, picrust2_pipeline, picrust2_place_seqs, picrust2_shuffle_predictions",PICRUSt2: Phylogenetic Investigation of Communities by Reconstruction of Unobserved States,picrust2,PICRUSt2,PICRUSt2 (Phylogenetic Investigation of Communities by Reconstruction of Unobserved States) is a software for predicting functional abundances based only on marker gene sequences.,"Phylogenetic reconstruction, Expression analysis, Rarefaction, Pathway analysis","Metagenomics, Microbiology, Phylogenetics, Metagenomic sequencing",To update,https://github.com/picrust/picrust2/wiki,Metagenomics,picrust2,iuc,https://github.com/picrust/picrust2,2.5.1,picrust2,2.5.2,(0/7),(7/7),(7/7),True,True,"Phylogenetic reconstruction, Expression analysis, Rarefaction, Pathway analysis"
plasflow,22589.0,278.0,PlasFlow,PlasFlow - Prediction of plasmid sequences in metagenomic contigs.,,,,,,Up-to-date,https://github.com/smaegol/PlasFlow,Sequence Analysis,plasflow,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/plasflow,1.1.0,plasflow,1.1.0,(1/1),(1/1),(1/1),True,True,
plasmidfinder,22.0,8.0,plasmidfinder,"""PlasmidFinder provides the detection of replicons in the WGSand assigns the plasmids under study to lineages that trace backthe information to the existing knowledge on Inc groups and suggestspossible reference plasmids for each lineage""",PlasmidFinder,PlasmidFinder,PlasmidFinder is a tool for the identification and typing of Plasmid Replicons in Whole-Genome Sequencing (WGS).,"Genome assembly, Scaffolding, Multilocus sequence typing","Whole genome sequencing, Sequence assembly, Mapping, Probes and primers",Up-to-date,https://bitbucket.org/genomicepidemiology/plasmidfinder/src/master/,Sequence Analysis,plasmidfinder,iuc,https://github.com/galaxyproject/tools-iuc/blob/master/tools/plasmidfinder,2.1.6,plasmidfinder,2.1.6,(0/1),(0/1),(1/1),True,True,"Genome assembly, Scaffolding, Multilocus sequence typing"
prokka,371445.0,3233.0,prokka,Rapid annotation of prokaryotic genomes,prokka,Prokka,"Software tool to annotate bacterial, archaeal and viral genomes quickly and produce standards-compliant output files.","Gene prediction, Coding region prediction, Genome annotation","Genomics, Model organisms, Virology",Up-to-date,http://github.com/tseemann/prokka,Sequence Analysis,prokka,crs4,https://github.com/galaxyproject/tools-iuc/tree/master/tools/prokka/,1.14.6,prokka,1.14.6,(1/1),(1/1),(1/1),True,True,"Gene prediction, Coding region prediction, Genome annotation"
proteinortho,2092.0,125.0,"proteinortho, proteinortho_grab_proteins, proteinortho_summary",Proteinortho is a tool to detect orthologous proteins/genes within different species.,proteinortho,Proteinortho,Proteinortho is a tool to detect orthologous genes within different species,Homology-based gene prediction,Phylogeny,Up-to-date,https://gitlab.com/paulklemm_PHD/proteinortho,Proteomics,proteinortho,iuc,https://gitlab.com/paulklemm_PHD/proteinortho,6.3.1,proteinortho,6.3.1,(0/3),(0/3),(3/3),True,True,Homology-based gene prediction
pycoqc,21123.0,350.0,pycoqc,QC metrics for ONT Basecalling,,,,,,Up-to-date,https://github.com/tleonardi/pycoQC,Nanopore,pycoqc,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/pycoqc,2.5.2,pycoqc,2.5.2,(1/1),(1/1),(1/1),True,True,
pygenometracks,11332.0,377.0,pygenomeTracks,pyGenomeTracks: Standalone program and library to plot beautiful genome browser tracks.,,,,,,Up-to-date,https://github.com/deeptools/pyGenomeTracks,Visualization,pygenometracks,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/pygenometracks,3.8,pygenometracks,3.8,(1/1),(1/1),(1/1),True,True,
qiime_add_on,,,"qiime_collapse_samples, qiime_make_otu_table",QIIME to perform microbial community analysis,,,,,,To update,http://www.qiime.org,Metagenomics,qiime,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/qiime/,,qiime,1.9.1,(0/2),(0/2),(2/2),True,True,
qiime_core,,,"qiime_align_seqs, qiime_alpha_diversity, qiime_alpha_rarefaction, qiime_assign_taxonomy, qiime_beta_diversity, qiime_beta_diversity_through_plots, qiime_compare_categories, qiime_core_diversity, qiime_count_seqs, qiime_extract_barcodes, qiime_filter_alignment, qiime_filter_fasta, qiime_filter_otus_from_otu_table, qiime_filter_samples_from_otu_table, qiime_filter_taxa_from_otu_table, qiime_jackknifed_beta_diversity, qiime_make_emperor, qiime_make_otu_heatmap, qiime_make_phylogeny, qiime_multiple_join_paired_ends, qiime_multiple_split_libraries_fastq, qiime_pick_closed_reference_otus, qiime_pick_open_reference_otus, qiime_pick_otus, qiime_pick_rep_set, qiime_plot_taxa_summary, qiime_split_libraries, qiime_split_libraries_fastq, qiime_summarize_taxa, qiime_summarize_taxa_through_plots, qiime_upgma_cluster, qiime_validate_mapping_file",QIIME to perform microbial community analysis,,,,,,To update,http://www.qiime.org,Metagenomics,qiime,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/qiime/,,qiime,1.9.1,(0/32),(0/32),(32/32),True,True,
qualimap,,,"qualimap_bamqc, qualimap_counts, qualimap_multi_bamqc, qualimap_rnaseq",,qualimap,QualiMap,Platform-independent application written in Java and R that provides both a Graphical User Inteface (GUI) and a command-line interface to facilitate the quality control of alignment sequencing data.,Sequencing quality control,Data quality management,To update,http://qualimap.bioinfo.cipf.es/,"Sequence Analysis, Transcriptomics, SAM",qualimap,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/qualimap,2.2.2d,qualimap,2.3,(4/4),(3/4),(4/4),True,True,Sequencing quality control
quast,51567.0,3567.0,quast,Quast (Quality ASsessment Tool) evaluates genome assemblies.,quast,QUAST,QUAST stands for QUality ASsessment Tool.  It evaluates a quality of genome assemblies by computing various metrics and providing nice reports.,"Visualisation, Sequence assembly validation",Sequence assembly,Up-to-date,http://quast.bioinf.spbau.ru/,Assembly,quast,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/quast,5.2.0,quast,5.2.0,(1/1),(1/1),(1/1),True,True,"Visualisation, Sequence assembly validation"
quickmerge,,,quickmerge,Merge long-read and hybrid assemblies to increase contiguity,quickmerge,quickmerge,"Quickmerge is a program that uses complementary information from genomes assembled with long reads in order to improve contiguity, and works with assemblies derived from both Pacific Biosciences or Oxford Nanopore. Quickmerge will even work with hybrid assemblies made by combining long reads and Illumina short reads.","Genome assembly, Scaffolding, De-novo assembly, Genotyping","Structural variation, Sequence assembly, DNA polymorphism, Whole genome sequencing, Genotype and phenotype",Up-to-date,https://github.com/mahulchak/quickmerge,Assembly,quickmerge,galaxy-australia,https://github.com/galaxyproject/tools-iuc/tree/master/tools/quickmerge,0.3,quickmerge,0.3,(0/1),(0/1),(0/1),True,True,"Genome assembly, Scaffolding, De-novo assembly, Genotyping"
raxml,6808.0,383.0,raxml,RAxML - A Maximum Likelihood based phylogenetic inference,raxml,RAxML,A tool for Phylogenetic Analysis and Post-Analysis of Large Phylogenies.,"Sequence analysis, Phylogenetic tree analysis","Phylogenetics, Sequence analysis",To update,http://www.exelixis-lab.org/web/software/raxml/,Phylogenetics,raxml,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/raxml,8.2.12,raxml,8.2.13,(1/1),(1/1),(1/1),True,True,"Sequence analysis, Phylogenetic tree analysis"
read_it_and_keep,3370.0,71.0,read_it_and_keep,Rapid decontamination of SARS-CoV-2 sequencing reads,,,,,,To update,https://github.com/GenomePathogenAnalysisService/read-it-and-keep,Sequence Analysis,read_it_and_keep,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/read-it-and-keep,0.2.2,read-it-and-keep,0.3.0,(1/1),(0/1),(1/1),True,True,
recentrifuge,331.0,48.0,recentrifuge,"""With Recentrifuge, researchers can analyze results from taxonomic classifiers using interactive charts with emphasis on the confidence level of the classifications.In addition to contamination-subtracted samples.Recentrifuge provides shared and exclusive taxa per sample,thus enabling robust contamination removal and comparative analysis in environmental and clinical metagenomics.""",Recentrifuge,Recentrifuge,Robust comparative analysis and contamination removal for metagenomics.,"Taxonomic classification, Expression analysis, Cross-assembly","Metagenomics, Microbial ecology, Metagenomic sequencing",Up-to-date,https://github.com/khyox/recentrifuge,Metagenomics,recentrifuge,iuc,https://github.com/galaxyproject/tools-iuc/blob/master/tools/recentrifuge,1.13.2,recentrifuge,1.13.2,(0/1),(0/1),(1/1),True,True,"Taxonomic classification, Expression analysis, Cross-assembly"
roary,12225.0,656.0,roary,Roary the pangenome pipeline,roary,Roary,"A high speed stand alone pan genome pipeline, which takes annotated assemblies in GFF3 format (produced by Prokka (Seemann, 2014)) and calculates the pan genome.",Genome assembly,"DNA, Genomics, Mapping",Up-to-date,https://sanger-pathogens.github.io/Roary/,Sequence Analysis,roary,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/roary,3.13.0,roary,3.13.0,(1/1),(1/1),(1/1),True,True,Genome assembly
rseqc,135036.0,3269.0,"rseqc_FPKM_count, rseqc_RNA_fragment_size, rseqc_RPKM_saturation, rseqc_bam2wig, rseqc_bam_stat, rseqc_clipping_profile, rseqc_deletion_profile, rseqc_geneBody_coverage, rseqc_geneBody_coverage2, rseqc_infer_experiment, rseqc_inner_distance, rseqc_insertion_profile, rseqc_junction_annotation, rseqc_junction_saturation, rseqc_mismatch_profile, rseqc_read_GC, rseqc_read_NVC, rseqc_read_distribution, rseqc_read_duplication, rseqc_read_hexamer, rseqc_read_quality, rseqc_tin",an RNA-seq quality control package,rseqc,RSeQC,"Provides a number of useful modules that can comprehensively evaluate high throughput sequence data especially RNA-seq data. Some basic modules quickly inspect sequence quality, nucleotide composition bias, PCR bias and GC bias, while RNA-seq specific modules evaluate sequencing saturation, mapped reads distribution, coverage uniformity, strand specificity, transcript level RNA integrity etc.",Data handling,Sequencing,To update,https://code.google.com/p/rseqc/,"Convert Formats, Sequence Analysis, RNA, Transcriptomics, Visualization",rseqc,nilesh,https://github.com/galaxyproject/tools-iuc/tree/master/tools/rseqc,5.0.1,rseqc,5.0.3,(22/22),(22/22),(22/22),True,True,Data handling
sarscov2formatter,173.0,7.0,sarscov2formatter,sarscov2formatter custom script,,,,,,Up-to-date,https://github.com/nickeener/sarscov2formatter,Sequence Analysis,sarscov2formatter,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/sarscov2formatter,1.0,sarscov2formatter,1.0,(1/1),(0/1),(1/1),True,True,
sarscov2summary,140.0,1.0,sarscov2summary,sarscov2summary custom script,,,,,,To update,https://github.com/nickeener/sarscov2summary,Sequence Analysis,sarscov2summary,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/sarscov2summary,0.1,sarscov2summary,0.5,(1/1),(0/1),(1/1),True,True,
scoary,676.0,61.0,scoary,Scoary calculates the assocations between all genes in the accessory genome and the traits.,,,,,,Up-to-date,https://github.com/AdmiralenOla/Scoary,Metagenomics,scoary,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/scoary,1.6.16,scoary,1.6.16,(0/1),(0/1),(1/1),True,True,
semibin,183.0,10.0,"semibin_bin, semibin_concatenate_fasta, semibin_generate_cannot_links, semibin_generate_sequence_features, semibin, semibin_train",SemiBin: Semi-supervised Metagenomic Binning Using Siamese Neural Networks,semibin,SemiBin,Command tool for metagenomic binning with semi-supervised deep learning using information from reference genomes.,"Sequence assembly, Read binning","Metagenomics, Machine learning, Microbial ecology, Sequence assembly",Up-to-date,https://semibin.readthedocs.io/en/latest/,Metagenomics,semibin,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/semibin,2.0.2,semibin,2.0.2,(0/6),(0/6),(6/6),True,True,"Sequence assembly, Read binning"
seqkit,,,"seqkit_fx2tab, seqkit_locate, seqkit_stats",A cross-platform and ultrafast toolkit for FASTA/Q file manipulation,seqkit,seqkit,"FASTA and FASTQ are basic and ubiquitous formats for storing nucleotide and protein sequences. Common manipulations of FASTA/Q file include converting, searching, filtering, deduplication, splitting, shuffling, and sampling. Existing tools only implement some of these manipulations, and not particularly efficiently, and some are only available for certain operating systems. Furthermore, the complicated installation process of required packages and running environments can render these programs less user friendly. SeqKit demonstrates competitive performance in execution time and memory usage compared to similar tools. The efficiency and usability of SeqKit enable researchers to rapidly accomplish common FASTA/Q file manipulations.","DNA transcription, Sequence trimming, DNA translation, Sequence conversion","Database management, Sequence analysis",To update,https://bioinf.shenwei.me/seqkit/,Sequence Analysis,seqkit,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/seqkit,2.3.1,seqkit,2.6.1,(0/3),(0/3),(3/3),True,True,"DNA transcription, Sequence trimming, DNA translation, Sequence conversion"
shovill,41600.0,1008.0,shovill,Faster de novo assembly pipeline based around Spades,shovill,shovill,"Shovill is a pipeline for assembly of bacterial isolate genomes from Illumina paired-end reads.  Shovill uses SPAdes at its core, but alters the steps before and after the primary assembly step to get similar results in less time. Shovill also supports other assemblers like SKESA, Velvet and Megahit, so you can take advantage of the pre- and post-processing the Shovill provides with those too.",Genome assembly,"Genomics, Microbiology, Sequence assembly",Up-to-date,https://github.com/tseemann/shovill,Assembly,shovill,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/shovill,1.1.0,shovill,1.1.0,(1/1),(1/1),(1/1),True,True,Genome assembly
smallgenomeutilities,,,smgu_frameshift_deletions_checks,Set of utilities for manipulating small viral genome data.,v-pipe,V-pipe,Bioinformatics pipeline for the analysis of next-generation sequencing data derived from intra-host viral populations.,"Read pre-processing, Sequence alignment, Genetic variation analysis","Genomics, Population genetics, Workflows, Virology, Sequencing",Up-to-date,https://github.com/cbg-ethz/smallgenomeutilities,Sequence Analysis,smallgenomeutilities,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/smallgenomeutilities,0.4.0,smallgenomeutilities,0.4.0,(0/1),(0/1),(1/1),True,True,"Read pre-processing, Sequence alignment, Genetic variation analysis"
snap,,,"snap, snap_training",SNAP is a general purpose gene finding program suitable for both eukaryotic and prokaryotic genomes.,snap,SNAP,The Semi-HMM-based Nucleic Acid Parser is a gene prediction tool.,Gene prediction,"DNA, DNA polymorphism, Genetics",Up-to-date,https://github.com/KorfLab/SNAP,Sequence Analysis,snap,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/snap,2013_11_29,snap,2013_11_29,(1/2),(1/2),(1/2),True,True,Gene prediction
snippy,105708.0,1372.0,"snippy_core, snippy, snippy_clean_full_aln",Contains the snippy tool for characterising microbial snps,snippy,snippy,Rapid haploid variant calling and core SNP phylogeny generation.,"Phylogenetic tree visualisation, Phylogenetic tree generation, Variant calling","Genomics, Model organisms, DNA polymorphism, Phylogenetics",To update,https://github.com/tseemann/snippy,Sequence Analysis,snippy,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/snippy,,snippy,4.6.0,(3/3),(3/3),(3/3),True,True,"Phylogenetic tree visualisation, Phylogenetic tree generation, Variant calling"
sonneityping,1.0,1.0,sonneityping,Scripts for parsing Mykrobe predict results for Shigella sonnei.,,,,,,Up-to-date,https://github.com/katholt/sonneityping,Sequence Analysis,sonneityping,iuc,https://github.com/katholt/sonneityping,20210201,sonneityping,20210201,(0/1),(0/1),(1/1),True,True,
spades,58834.0,2309.0,"spades_biosyntheticspades, spades_coronaspades, spades_metaplasmidspades, metaspades, spades_metaviralspades, spades_plasmidspades, rnaspades, spades_rnaviralspades, spades","SPAdes is an assembly toolkit containing various assembly pipelines. It implements the following 4 stages: assembly graph construction, k-bimer adjustment, construction of paired assembly graph and contig construction.",,,,,,Up-to-date,https://github.com/ablab/spades,"Assembly, RNA, Metagenomics",spades,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/spades,3.15.5,spades,3.15.5,(9/9),(9/9),(9/9),True,True,
spotyping,1278.0,12.0,spotyping,SpoTyping allows fast and accurate in silico Mycobacterium spoligotyping from sequence reads,spotyping,SpoTyping,Fast and accurate in silico Mycobacterium spoligotyping from sequence reads.,Variant pattern analysis,"Microbiology, Sequencing, Sequence composition, complexity and repeats, Genetic variation",Up-to-date,https://github.com/xiaeryu/SpoTyping-v2.0,Sequence Analysis,spotyping,iuc,https://github.com/xiaeryu/SpoTyping-v2.0/tree/master/SpoTyping-v2.0-commandLine,2.1,spotyping,2.1,(0/1),(0/1),(1/1),True,True,Variant pattern analysis
srst2,205.0,22.0,srst2,SRST2 Short Read Sequence Typing for Bacterial Pathogens,,,,,,To update,http://katholt.github.io/srst2/,Metagenomics,srst2,iuc,https://github.com/katholt/srst2,0.2.0,samtools,1.19.2,(0/1),(0/1),(1/1),True,True,
structure,2623.0,59.0,structure,for using multi-locus genotype data to investigate population structure.,structure,Structure,"The program structureis a free software package for using multi-locus genotype data to investigate population structure. Its uses include inferring the presence of distinct populations, assigning individuals to populations, studying hybrid zones, identifying migrants and admixed individuals, and estimating population allele frequencies in situations where many individuals are migrants or admixed.",Genetic variation analysis,Population genetics,Up-to-date,,"Phylogenetics, Variant Analysis",structure,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/structure,2.3.4,structure,2.3.4,(0/1),(0/1),(1/1),True,True,Genetic variation analysis
taxonomy_krona_chart,27426.0,1801.0,taxonomy_krona_chart,Krona pie chart from taxonomic profile,krona,Krona,Krona creates interactive HTML5 charts of hierarchical data (such as taxonomic abundance in a metagenome).,Visualisation,Metagenomics,To update,http://sourceforge.net/projects/krona/,Assembly,taxonomy_krona_chart,crs4,https://github.com/galaxyproject/tools-iuc/tree/master/tools/taxonomy_krona_chart,2.7.1+galaxy0,krona,2.8.1,(1/1),(1/1),(1/1),True,True,Visualisation
tb-profiler,,,tb_profiler_profile,Processes M. tuberculosis sequence data to infer strain type and identify known drug resistance markers.,,,,,,To update,https://github.com/jodyphelan/TBProfiler,Sequence Analysis,tbprofiler,iuc,https://github.com/galaxyproject/tools-iuc/blob/master/tools/tb-profiler,4.4.1,tb-profiler,5.0.1,(1/1),(1/1),(1/1),True,True,
transtermhp,229.0,5.0,transtermhp,Finds rho-independent transcription terminators in bacterial genomes,,,,,,To update,,Sequence Analysis,transtermhp,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/transtermhp,,transtermhp,2.09,(1/1),(0/1),(1/1),True,True,
unicycler,65732.0,1558.0,unicycler,Unicycler is a hybrid assembly pipeline for bacterial genomes.,unicycler,Unicycler,A tool for assembling bacterial genomes from a combination of short (2nd generation) and long (3rd generation) sequencing reads.,"Genome assembly, Aggregation","Microbiology, Genomics, Sequencing, Sequence assembly",Up-to-date,https://github.com/rrwick/Unicycler,Assembly,unicycler,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/unicycler,0.5.0,unicycler,0.5.0,(1/1),(1/1),(1/1),True,True,"Genome assembly, Aggregation"
usher,1060.0,5.0,"usher_matutils, usher",UShER toolkit wrappers,,,,,,To update,https://github.com/yatisht/usher,Phylogenetics,usher,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/usher,0.2.1,usher,0.6.3,(0/2),(0/2),(2/2),True,True,
valet,637.0,20.0,valet,A pipeline for detecting mis-assemblies in metagenomic assemblies.,,,,,,To update,https://github.com/marbl/VALET,Metagenomics,valet,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/valet,,valet,1.0,(1/1),(0/1),(1/1),True,True,
vapor,3164.0,94.0,vapor,Classify Influenza samples from raw short read sequence data,vapor,VAPOR,"VAPOR is a tool for classification of Influenza samples from raw short read sequence data for downstream bioinformatics analysis. VAPOR is provided with a fasta file of full-length sequences (> 20,000) for a given segment, a set of reads, and attempts to retrieve a reference that is closest to the sample strain.","Data retrieval, De-novo assembly, Read mapping","Whole genome sequencing, Mapping, Sequence assembly",Up-to-date,https://github.com/connor-lab/vapor,Sequence Analysis,vapor,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/vapor,1.0.2,vapor,1.0.2,(1/1),(0/1),(1/1),True,True,"Data retrieval, De-novo assembly, Read mapping"
vegan,,,"vegan_diversity, vegan_fisher_alpha, vegan_rarefaction",,,,,,,To update,https://cran.r-project.org/package=vegan,Metagenomics,,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/vegan/,2.4-3,r-vegan,2.3_4,(3/3),(0/3),(3/3),True,True,
velvet,12218.0,1280.0,"velvetg, velveth",de novo genomic assembler specially designed for short read sequencing technologies,velvet,Velvet,"A de novo genomic assembler specially designed for short read sequencing technologies, such as Solexa or 454 or SOLiD.","Formatting, De-novo assembly",Sequence assembly,To update,https://www.ebi.ac.uk/~zerbino/velvet/,Assembly,velvet,devteam,https://github.com/galaxyproject/tools-iuc/tree/master/tools/velvet,,velvet,1.2.10,(2/2),(2/2),(2/2),True,True,"Formatting, De-novo assembly"
velvet_optimiser,,,velvetoptimiser,Automatically optimize Velvet assemblies,velvetoptimiser,VelvetOptimiser,"This tool is designed to run as a wrapper script for the Velvet assembler (Daniel Zerbino, EBI UK) and to assist with optimising the assembly.","Optimisation and refinement, Sequence assembly","Genomics, Sequence assembly",To update,,Assembly,velvetoptimiser,simon-gladman,https://github.com/galaxyproject/tools-iuc/tree/master/tools/velvetoptimiser,2.2.6+galaxy2,velvet,1.2.10,(1/1),(1/1),(1/1),True,True,"Optimisation and refinement, Sequence assembly"
vsearch,8507.0,182.0,"vsearch_alignment, vsearch_chimera_detection, vsearch_clustering, vsearch_dereplication, vsearch_masking, vsearch_search, vsearch_shuffling, vsearch_sorting","VSEARCH including searching, clustering, chimera detection, dereplication, sorting, masking and shuffling of sequences.",vsearch,VSEARCH,"High-throughput search and clustering sequence analysis tool. It supports de novo and reference based chimera detection, clustering, full-length and prefix dereplication, reverse complementation, masking, all-vs-all pairwise global alignment, exact and global alignment searching, shuffling, subsampling and sorting. It also supports FASTQ file analysis, filtering and conversion.","DNA mapping, Chimera detection","Metagenomics, Sequence analysis",To update,https://github.com/torognes/vsearch,Sequence Analysis,vsearch,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tools/vsearch,2.8.3,vsearch,2.27.0,(8/8),(8/8),(8/8),True,True,"DNA mapping, Chimera detection"
bamtools,14039.0,208.0,bamtools,Operate on and transform BAM datasets in various ways using bamtools,,,,,,Up-to-date,https://github.com/pezmaster31/bamtools,"Sequence Analysis, SAM",bamtools,devteam,https://github.com/galaxyproject/tools-iuc/tree/main/tool_collections/bamtools/bamtools,2.5.2,bamtools,2.5.2,(1/1),(0/1),(1/1),True,True,
biotradis,,,"bacteria_tradis, tradis_essentiality, tradis_gene_insert_sites",Bio-Tradis is a tool suite dedicated to essentiality analyses with TraDis data.,,,,,,Up-to-date,https://www.sanger.ac.uk/science/tools/bio-tradis,Genome annotation,biotradis,iuc,https://github.com/galaxyproject/tools-iuc/tree/master/tool_collections/biotradis,1.4.5,biotradis,1.4.5,(3/3),(0/3),(0/3),True,True,
kraken,13938.0,404.0,"kraken-filter, kraken-mpa-report, kraken-report, kraken-translate, kraken","Kraken is a system for assigning taxonomic labels to short DNAsequences, usually obtained through metagenomic studies. Previous attempts by otherbioinformatics software to accomplish this task have often used sequence alignmentor machine learning techniques that were quite slow, leading to the developmentof less sensitive but much faster abundance estimation programs. Kraken aims toachieve high sensitivity and high speed by utilizing exact alignments of k-mersand a novel classification algorithm.",,,,,,To update,http://ccb.jhu.edu/software/kraken/,Metagenomics,kraken,devteam,https://github.com/galaxyproject/tools-iuc/blob/master/tool_collections/kraken/,,kraken,1.1.1,(5/5),(5/5),(5/5),True,True,
