Galaxy wrapper id	Description	To keep	Deprecated
srs_tools	Compute biodiversity indicators for remote sensing data from Sentinel 2		
srst2	Short Read Sequence Typing for Bacterial Pathogens		
srst2	SRST2 Short Read Sequence Typing for Bacterial Pathogens		
sshmm	ssHMM is an RNA sequence-structure motif finder for RNA-binding protein data, such as CLIP-Seq data		
stacks	Stacks is a software pipeline for building loci from short-read sequences, such as RAD-seq		
stacks2	Stacks is a software pipeline for building loci from short-read sequences, such as RAD-seq		
star_fusion	STAR Fusion detects fusion genes in RNA-Seq data after running RNA-STAR		
staramr	Scan genome contigs against the ResFinder, PlasmidFinder, and PointFinder antimicrobial resistance databases.		
statistics	Tool for computing statistical tests.		
stoc	Tools to analyse STOC data.		
straindesign	Toolbox to optimize biological model		
strelka	Strelka2 is a fast and accurate small variant caller optimizedfor analysis of germline variation in small cohorts and somaticvariation in tumor/normal sample pairs. The germline caller employs anefficient tiered haplotype model to improve accuracy and provide read-backedphasing, adaptively selecting between assembly and a faster alignment-basedhaplotyping approach at each variant locus. The germline caller also analyzesinput sequencing data using a mixture-model indel error estimation method toimprove robustness to indel noise. The somatic calling model improves on theoriginal Strelka method for liquid and late-stage tumor analysis by accountingfor possible tumor cell contamination in the normal sample. A final empiricalvariant re-scoring step using random forest models trained on various callquality features has been added to both callers to further improve precision.		
stress_ng	stress test a computer system in various selectable ways		
stringmlst	Rapid and accurate identification of the sequence type (ST)		
stringtie	StringTie is a fast and highly efficient assembler of RNA-Seq alignments into potential transcripts.		
structure	for using multi-locus genotype data to investigate population structure.		
structureharvester	for parsing STRUCTURE outputs and for performing the Evanno method		
substitution_rates	Estimate substitution rates for non-coding regions		
substitutions	Fetch substitutions from pairwise alignments		
subtract	Subtract the intervals of two datasets		
subtract_query	Subtract Whole Dataset from another dataset		
suite_qiime2__alignment			
suite_qiime2__composition			
suite_qiime2__cutadapt			
suite_qiime2__dada2			
suite_qiime2__deblur			
suite_qiime2__demux			
suite_qiime2__diversity			
suite_qiime2__diversity_lib			
suite_qiime2__emperor			
suite_qiime2__feature_classifier			
suite_qiime2__feature_table			
suite_qiime2__fragment_insertion			
suite_qiime2__longitudinal			
suite_qiime2__metadata			
suite_qiime2__phylogeny			
suite_qiime2__quality_control			
suite_qiime2__quality_filter			
suite_qiime2__rescript			
suite_qiime2__sample_classifier			
suite_qiime2__taxa			
suite_qiime2__vsearch			
suite_qiime2_core			
suite_qiime2_core__tools			
suite_snvphyl	SNVPhyl suite defining all dependencies for SNVPhyl		
superdsm	Globally optimal segmentation method based on superadditivity and deformable shape models for cell nuclei in fluorescence microscopy images		
swift	Parallel MCMC Linkage Analysis		
syndiva	SynDivA was developed to analyze the diversity of synthetic libraries of a Fibronectin domain.		
t2ps	Draw phylogeny		
t2t_report	Summarize taxonomy		
t_coffee	T-Coffee		
t_test_two_samples	T Test for Two Samples		
table_annovar	Annotate a VCF file using ANNOVAR annotations to produce a tabular file that can be filtered		
table_compute	Perform general-purpose table operations		
tables_arithmetic_operations	Arithmetic Operations on tables		
tabular_to_fasta	Tabular-to-FASTA		
tabular_to_fastq	Tabular to FASTQ converter		
tag_pileup_frequency	Contains a tool that generates a frequency pileup of the 5' ends of aligned reads in a BAM filerelative to reference points in a BED file.		
tapscan	Search for transcription associated proteins (TAPs)		
tarfast5	produces a tar.gz archive of fast5 sequence files		
targetfinder	Plant small RNA target prediction tool		
tasmanian_mismatch	Analysis of positional mismatches		
taxonkit	TaxonKit - A Practical and Efficient NCBI Taxonomy Toolkit		
taxonomy_filter_refseq	Filter RefSeq by taxonomy		
taxonomy_krona_chart	Krona pie chart from taxonomic profile		
taxpasta	standardise taxonomic profiles		
tb-profiler	Processes M. tuberculosis sequence data to infer strain type and identify known drug resistance markers.		
tb_variant_filter	M. tuberculosis H37Rv VCF filter		
tbl2gff3	Table to GFF3		
tbvcfreport	Generate HTML report from SnpEff M.tuberculosis VCF(s)		
te_finder	Transposable element insertions finder		
telescope	Single locus resolution of Transposable ELEment expression.		
tetoolkit	The TEToolkit suite improves the bioinformatic analysis of repetitive sequences, particularly transposable elements, in order to elucidate novel (and previously ignored) biological insights of their functions in development and diseases.		
tetyper	Type a specific transposable element (TE) of interest from paired-end sequencing data.		
text_processing	High performance text processing tools using the GNU coreutils, sed, awk and friends.		
tgsgapcloser	TGS-GapCloser uses error-prone long reads or preassembled contigs to fill N-gap in the genome assembly.		
tiara	Tool for identification of eukaryotic sequences in the metagenomic datasets.		
tn93	Compute distances between sequences		
tool_recommendation_model	Create model to recommend tools		
tooldistillator	ToolDistillator extract and aggregate information from different tool outputs to JSON parsable files		
tophat	Tophat for Illumina		
tophat2	Tophat - fast splice junction mapper for RNA-Seq reads		
tophat_fusion_post	Wrapper for Tophat-Fusion post step		
topologyeditors	Set of python scripts and associated tool files that can be used to modify topology files.		
tracegroomer	TraceGroomer is a solution for formatting and normalising Tracer metabolomics given file(s), to produce the .csv files which are ready for DIMet tool.		
tracy			
transdecoder	TransDecoder finds coding regions within transcripts		
transit	TRANSIT		
translate_bed	Translate BED transcript CDS or cDNA in 3 frames		
translate_bed_sequences	Perform 3 frame translation of BED file augmented with a sequence column		
transtermhp	Finds rho-independent transcription terminators in bacterial genomes		
tree_relabeler	Relabels the tips of a newick formatted tree.		
trim_galore	Trim Galore adaptive quality and adapter trimmer		
trimmer	Trim leading or trailing characters.		
trimmomatic	A flexible read trimming tool for Illumina NGS data		
trinity	Trinity represents a method for the efficient and robust de novo reconstruction of transcriptomes from RNA-seq datahttps://github.com/trinityrnaseq/trinityrnaseq		
trinotate	Trinotate is a comprehensive annotation suite designed for automatic functional annotation of de novo transcriptomes.		
tripal	Galaxy tools allowing to load data into a remote Tripal server.Tripal is a toolkit for construction of online biological (genetics, genomics, breeding, etc), community database,and is a member of the GMOD family of tools. Tripal provides by default integration with the GMOD Chado database schema and Drupal, a popular Content Management Systems (CMS).https://github.com/galaxy-genome-annotation/python-tripal		
trna_prediction	Aragorn predicts tRNA and tmRNA in nucleotide sequences.		
trycycler	Trycycler toolkit wrappers		
tsebra	This tool has been developed to combine BRAKER predictions.		
tsne	T-Distributed Stochastic Neighbor Embedding using a Barnes-Hut Implementation		
twobittofa	twoBitToFa is a tool to convert all or part of .2bit file to FASTA		
tximport	Wrapper for the Bioconductor package tximport		
ucsc-cell-browser	Python pipeline and Javascript scatter plot library for single-cell datasets		
ucsc_axtchain	Chain together genome alignments		
ucsc_axttomaf	Convert dataset from axt to MAF format.		
ucsc_blat	Standalone blat sequence search command line tool		
ucsc_chainnet	Make alignment nets out of chains		
ucsc_chainprenet	Remove chains that don't have a chance of being netted		
ucsc_chainsort	Sort chains. By default sorts by score.		
ucsc_custom_track	Build custom track for UCSC genome browser		
ucsc_netfilter	Filter out parts of net		
ucsc_netsyntenic	Add synteny info to a net dataset		
ucsc_nettoaxt	Convert net (and chain) to axt format.		
umi_tools	UMI-tools extract - Extract UMIs from fastq		
unicycler	Unicycler is a hybrid assembly pipeline for bacterial genomes.		
unipept	Unipept retrieves metaproteomics information		
uniprot_rest_interface	UniProt ID mapping and sequence retrieval		
uniprotxml_downloader	Download UniProt proteome in XML or fasta format		
unzip	Unzip file		
upload_roi_and_measures_to_omero	Upload the ROI coordinates and the measurements to the omero server		
usher	UShER toolkit wrappers		
valet	A pipeline for detecting mis-assemblies in metagenomic assemblies.		
validate_fasta_database	runs Compomics database identification tool on any FASTA database, and separates valid and invalid entries based on a series of checks.		
vapor	Classify Influenza samples from raw short read sequence data		
vardict	VarDict - calls SNVs and indels for tumour-normal pairs		
variant_analyzer	Collection of tools for analyzing variants in duplex consensus sequencing (DCS) data		
varscan	VarScan is a variant caller for high-throughput sequencing data		
varscan_vaf	Compute variant allele frequency in vcf files generated by varscan.		
varscan_version_2	VarScan wrapper		
varvamp	Variable VirusAMPlicons (varVAMP) is a tool to design primers for highly diverse viruses		
vcf2maf	vcf2maf: Convert VCF into MAF		
vcf2pgsnp	VCF to pgSnp		
vcf2snvalignment	Generates multiple alignment of variant calls		
vcf2tsv	Converts VCF files into tab-delimited format		
vcf_annotate	Annotate a VCF file (dbSNP, hapmap)		
vcf_extract	Extract reads from a specified region		
vcf_filter	Filter a VCF file		
vcf_intersect	Generate the intersection of two VCF files		
vcfaddinfo	Adds info fields from the second dataset which are not present in the first dataset.		
vcfallelicprimitives	Splits alleleic primitives (gaps or mismatches) into multiple VCF lines		
vcfanno	Annotate VCF files		
vcfannotate	Intersect VCF records with BED annotations		
vcfannotategenotypes	Annotate genotypes in a VCF dataset using genotypes from another VCF dataset.		
vcfbedintersect	Intersect VCF and BED datasets		
vcfbreakcreatemulti	Break multiple alleles into multiple records, or combine overallpoing alleles into a single record		
vcfcheck	Verify that the reference allele matches the reference genome		
vcfcombine	Combine multiple VCF datasets		
vcfcommonsamples	Output records belonging to samples commong between two datasets.		
vcfdistance	Calculate distance to the nearest variant.		
vcffilter	Tool for filtering VCF files		
vcffixup	Count the allele frequencies across alleles present in each record in the VCF file.		
vcfflatten	Removes multi-allelic sites by picking the most common alternate		
vcfgeno2haplo	Convert genotype-based phased alleles into haplotype alleles		
vcfgenotypes	Convert numerical representation of genotypes to allelic.		
vcfhethom	Count the number of heterozygotes and alleles, compute het/hom ratio.		
vcfleftalign	Left-align indels and complex variants in VCF dataset		
vcfprimers	Extract flanking sequences for each VCF record		
vcfrandomsample	Randomly sample sites from VCF dataset		
vcfselectsamples	Select samples from a VCF file		
vcfsort	Sort VCF dataset by coordinate		
vcftools_annotate	Annotate VCF using custom/user-defined annotations		
vcftools_compare	Compare VCF files to get overlap and uniqueness statistics		
vcftools_consensus	Apply VCF variants to a fasta file to create consensus sequence		
vcftools_isec	Intersect multiple VCF datasets		
vcftools_merge	Merge multiple VCF datasets into a single dataset		
vcftools_slice	Subset VCF dataset by genomic regions		
vcftools_subset	Select samples from a VCF dataset		
vcfvcfintersect	Intersect two VCF datasets		
vegan	an R package fo community ecologist		
velocyto	Velocyto is a library for the analysis of RNA velocity.		
velvet	de novo genomic assembler specially designed for short read sequencing technologies		
velvet_optimiser	Automatically optimize Velvet assemblies		
venn_list	Draw Venn Diagram (PDF) from lists, FASTA files, etc		
verify_map	Checks the mapping quality of all BAM(s)		
verkko	Telomere-to-telomere assembly pipeline		
vg	Variation graph data structures, interchange formats, alignment, genotyping, and variant calling methods		
vibrant	Virus Identification By iteRative ANnoTation		
vienna_rna	ViennaRNA - Prediction and comparison of RNA secondary structures		
vigiechiro	Tools created by the vigiechiro team to analyses and identify chiro sounds files.		
virAnnot	virAnnot wrappers		
virheat	generates a heatmap of allele frequencies from vcf files		
virhunter	Deep Learning method for novel virus detection in sequencing data		
virsorter	VirSorter2 applies a multi-classifier, expert-guided approach to detect diverse DNA and RNA virus genomes.		
visceral_evaluatesegmentation	Visceral Project - Evaluate Segmentation Tool		
vmd	vmd is a package for  visualizing and analyzing trajectories from molecular dynamics (MD) simulations		
volcanoplot	Tool to create a Volcano Plot		
voronoi_tessellation	Compute Voronoi tesselation		
vsearch	VSEARCH including searching, clustering, chimera detection, dereplication, sorting, masking and shuffling of sequences.		
vsnp	The vSNP tools are critical components of several workflows that validate SNPs and produce annotatedSNP tables and corresponding phylogenetic trees.		
vt	A tool set for short variant discovery in genetic sequence data.		
w4mclassfilter	Filter W4M data by values or metadata		
w4mconcatenate	[W4M][Utils] concatenate two Metadata tables		
w4mcorcov	OPLS-DA Contrasts of Univariate Results		
w4mjoinpn	Join positive- and negative-mode W4M datasets		
wade	identify regions of interest		
waveica	Removal of batch effects for large-scale untargeted metabolomics data based on wavelet analysis.		
weather_app	provides simple weather in text format		
weblogo3	Sequence Logo generator for fasta		
weightedaverage	Assign weighted-average of the values of features overlapping an interval		
whisper	Transcribe audio or video files to text using the OpenAI Whisper.		
wigtobigwig	converts bedGraph (wig) files into binary bigwig		
windowmasker	Identify repetitive regions using WindowMasker		
windowsplitter	Make windows		
winnowmap	A long-read mapping tool optimized for mapping ONT and PacBio reads to repetitive reference sequences.		
woundhealing	Tool to automate quantification of wound healing in high-throughput microscopy scratch assays		
wsi_extract_top_view	WSI Extract Top View		
wtdbg	WTDBG is a fuzzy Bruijn graph (FBG) approach to long noisy reads assembly.		
xarray	xarray (formerly xray) is an open source project and Python package that makes working withlabelled multi-dimensional arrays simple, efficient, and fun!xarray integrates with Dask to support parallel computations and streaming computation on datasetsthat don’t fit into memory.		
xcms			
xmlstarlet	Tool to convert a xml file from one metadata standard to another		
xpath	XPath XML querying tool		
xpore	Identification and quantification of differential RNA modifications from direct RNA sequencing		
xtb	Performs semiempirical molecular optimization.		
xy_plot	Plotting tool for multiple series and graph types		
yac_clipper	Clips 3' adapters for small RNA sequencing reads.		
yahs	Yet Another Hi-C scaffolding tool		
zeiss_lmd_converter	Converts coordinates from a tabular file into a formatted text file readable by Zeiss laser-capture microdissection systems		
zerone	ChIP-seq discretization and quality control		
zoo_project_ogc_api_processes	This tool is a wrapper for OGC API Processes (OTB) coming from the Zoo Project (https://zoo-project.github.io/docs/intro.html) and was created using the OGC-API-Process2Galaxy tool (https://github.com/AquaINFRA/OGC-API-Process2Galaxy). Check the README in the repository for more information.		
